Sample_name,Auseed_diameter_ave_nm,Auseed_diameter_stdv_nm,Auseed_diameter_max_nm,Auseed_diameter_min_nm,Au_mmol,Cd_mmol,oleylamine_mL,oleic_acid_mL,heating_rate_C/min,holding_temperature_C,holding_time_h,ratio_AuCd,H,V,C,Class
sam362,14.318708,1.19277,20.037676,8.694526,0.25,0.375044265,16.5,1.6,6.065318818,260,1.5,74,Y,8.7,2.8,0
sam363,9.56671791,1.988195806,13.1600652,2.886754721,0.25,0.376975823,16.5,1.6,8.35483871,260,1.5,83.6,Y,6.6,1.3,0
sam374,23.26245161,4.963602624,47.519,15.227,0.16,0.241122879,8,0.8,3.883289125,260,1.5,91.7,Y,5,1.3,0
sam375,37.33,9.09,62.42,23.76,0.16,0.241766732,8,0.8,7.925840093,260,1.5,85,Y,8.2,5.7,0
sam383,9.56671791,1.988195806,13.1600652,2.886754721,0.25,0.450375044,16.5,1.6,3.176470588,260,1.5,76.9,Y,8.5,3.2,0
sam384,11.13587126,1.275069674,13.00086726,4.883288178,0.25,0.45616972,16.5,1.6,2.708333333,260,1.5,90.4,Y,8.5,3.2,1
sam388-2,10.41841793,1.771879148,15.52971158,3.832172349,0.25,0.145837358,16.5,1.6,3.956356736,270,1.5,0,YR,7.6,11.3,0
sam389,10.41841793,1.771879148,15.52971158,3.832172349,0.25,1.273903805,16.5,1.6,4.508108108,270,1.5,0,Y,9.2,1.5,0
sam390_120C,10.37532121,1.992716702,15.66444718,3.135188876,0.25,0,16.5,1.6,4,120,0.75,0,R,6.2,14.2,0
sam390_170C,10.37532121,1.992716702,15.66444718,3.135188876,0.25,0,16.5,1.6,4.166666667,170,1.5,0,RP,6.2,14,0
sam390_220C,10.37532121,1.992716702,15.66444718,3.135188876,0.25,0,16.5,1.6,2.647837599,220,1.5,0,RP,6.5,13.5,0
sam390_270C,10.37532121,1.992716702,15.66444718,3.135188876,0.25,0,16.5,1.6,2.691588785,270,1.5,0,P,4.8,4.5,0
sam391_270C,0,0,0,0,0,0.386002189,16.5,1.6,11.52,270,1.5,0,PB,6.2,1.5,0
sam391_300C,0,0,0,0,0,0.386002189,16.5,1.6,2.581602374,300,1.5,0,PB,4.2,1.9,0
sam393_330C_30min,10.41841793,1.771879148,15.52971158,3.832172349,0.25,0.145837358,16.5,1.6,6.438095238,320,0.5,0,YR,6.8,12.9,0
sam393_330C_90min,10.41841793,1.771879148,15.52971158,3.832172349,0.25,0.145837358,16.5,1.6,6.438095238,330,1.5,0,YR,6.5,10.2,0
sam393_330C_180C,10.41841793,1.771879148,15.52971158,3.832172349,0.25,0.145837358,16.5,1.6,6.438095238,330,3,0,YR,6.5,9.1,0
sam394_330C_30min,10.41841793,1.771879148,15.52971158,3.832172349,0.25,0.45071148,16.5,1.6,7.768595041,330,0.5,98.1,Y,7.9,5.2,1
sam394_330C_90min,10.41841793,1.771879148,15.52971158,3.832172349,0.25,0.45071148,16.5,1.6,7.768595041,330,1.5,100,Y,8.1,3.3,1
sam394_330C_180min,10.41841793,1.771879148,15.52971158,3.832172349,0.25,0.45071148,16.5,1.6,7.768595041,330,3,87.1,Y,7.5,4.8,0
sam395,10.41841793,1.771879148,15.52971158,3.832172349,0.25,0.42978559,16.5,1.6,3.103448276,250,1.5,99,Y,8.8,2.5,1
sam396,10.41841793,1.771879148,15.52971158,3.832172349,0.25,0.431073337,16.5,1.6,4.652173913,270,1.5,100,Y,7.9,4.7,1
sam401,8.419896812,2.272715911,13.23574815,1.61677481,0.25,0,0,0,0,25,0,0,R,5.9,14.1,0
sam402,11.03119666,3.074107526,16.72347767,1.162285317,0.25,0,0,0,0,25,0,0,RP,6.1,14.1,0
sam405,4.874121005,3.565239794,13.553,0.864,0.25,0,0,0,0,25,0,0,R,6.5,11.1,0
sam406,4.852818284,3.467703871,10.46233261,0.791,0.25,0,0,0,0,25,0,0,R,6.3,10.3,0
sam407,8.419896812,2.272715911,13.23574815,1.61677481,0.25,0.440087567,16.5,1.6,4.404624277,260,1.5,72.9,Y,8.6,2.9,0
sam408,4.852818284,3.467703871,10.46233261,0.791,0.25,0.423990728,16.5,1.6,4.610011641,260,1.5,69.1,Y,8.5,3.6,0
sam409_45 min,8.419896812,2.272715911,13.23574815,1.61677481,0.2594,0.447492113,15.46,3.32,10.37593985,280,0.75,0,YR,7.4,10.7,0
sam409_90 min,8.419896812,2.272715911,13.23574815,1.61677481,0.2594,0.447492113,15.46,3.32,10.37593985,280,1.5,0,YR,7.2,12.7,0
sam409_20 h,8.419896812,2.272715911,13.23574815,1.61677481,0.2594,0.447492113,15.46,3.32,10.37593985,280,20,74.5,Y,7.9,5.6,0
sam410_90 min,8.419896812,2.272715911,13.23574815,1.61677481,0.25,0.408537763,16.64,0.77,5.208148804,260,1.5,100,Y,9,1.9,1
sam410_180 min,8.419896812,2.272715911,13.23574815,1.61677481,0.25,0.408537763,16.64,0.77,5.208148804,260,3,100,Y,8.5,3.3,1
sam421,13.497174,1.606828,19.433887,6.253909,0.25,0,0,0,0,25,0,0,RP,6.6,13,0
sam422_0,13.497174,1.606828,19.433887,6.253909,0.25,0.441375314,16.5,1.6,9.5,120,0.866666667,0,R,6.4,13.5,0
sam422_1,13.497174,1.606828,19.433887,6.253909,0.25,0.441375314,16.5,1.6,16.8,210,0.016666667,0,R,6.2,14.4,0
sam422_2,13.497174,1.606828,19.433887,6.253909,0.25,0.441375314,16.5,1.6,12.5,240,0.016666667,0,R,6.4,13.6,0
sam422_3,13.497174,1.606828,19.433887,6.253909,0.25,0.441375314,16.5,1.6,8.461538462,250,0.016666667,0,YR,7.2,13.5,0
sam422_4,13.497174,1.606828,19.433887,6.253909,0.25,0.441375314,16.5,1.6,6.545454545,260,0.016666667,0,YR,7.3,12.4,0
sam422_5,13.497174,1.606828,19.433887,6.253909,0.25,0.441375314,16.5,1.6,6.545454545,260,0.25,32.3,Y,8.2,6.6,0
sam422_6,13.497174,1.606828,19.433887,6.253909,0.25,0.441375314,16.5,1.6,6.545454545,260,0.5,100,Y,8.9,3,1
sam422_7,13.497174,1.606828,19.433887,6.253909,0.25,0.441375314,16.5,1.6,6.545454545,260,1,100,Y,8.6,2.9,1
sam422_8,13.497174,1.606828,19.433887,6.253909,0.25,0.441375314,16.5,1.6,6.545454545,260,1.5,100,Y,8.6,3,1
sam431_220C,11.03119666,3.074107526,16.72347767,1.162285317,0.25,0.378629837,16.5,1.6,15.6,220,0.016666667,0,R,7.3,9.2,0
sam431_1.5h,11.03119666,3.074107526,16.72347767,1.162285317,0.25,0.378629837,16.5,1.6,3.42236306,260,1.5,67.1,Y,8.7,2.7,0
sam434,13.497174,1.606828,19.433887,6.253909,0.25,0.401551735,16.5,1.6,5.037037037,260,1.5,100,Y,8.6,2.6,1
sam435,11.40280411,2.463424925,19.72586232,3.737984853,0.25,0.401551735,16.5,1.6,7.440212578,260,1.5,39.4,Y,7.8,6.6,0
sam436,8.235354895,1.879466584,11.96300121,2.581498746,0.25,0.401004443,16.5,1.6,2.850157178,260,1.5,43.7,Y,7.8,5.9,0
sam437,8.245299737,1.805341512,13.47300791,3.169319607,1,0,0,0,0,25,0,0,RP,6.8,11.9,0
sam438,9.635915339,2.01448845,16.92297918,5.773619707,1,0,0,0,0,25,0,0,RP,7.5,9.1,0
sam439,8.245299737,1.805341512,13.47300791,3.169319607,0.25,0.416360827,16.5,1.6,6.208494208,260,1.5,27.8,Y,7.4,2.7,0
sam440_5,8.245299737,1.805341512,13.47300791,3.169319607,0.25,0.389253751,16.5,1.6,11.31914894,260,0.45,31.2,Y,8.5,5.7,0
sam440_8,8.245299737,1.805341512,13.47300791,3.169319607,0.25,0.389253751,16.5,1.6,11.31914894,260,1.5,100,Y,8.3,3.6,1
